span,type,count
数据库,K,5
国际商法,K,5
8D问题分析,K,5
软件开发流程,K,5
机械相关领域知识,K,5
生产流程,K,5
销售计划,K,5
翻译,K,5
工作经验,K,5
人力资源管理基础,K,5
分公司运营及管理,K,5
企业管理实务,K,5
驻地公司法,K,5
职场商务礼仪,K,5
国际贸易实务,K,5
物理,K,5
通信,K,5
应收账款,K,5
词汇,K,5
西班牙语专业,K,5
市场情况,K,5
国际贸易相关工作经验,K,5
知识管理,K,5
财务流程,K,5
PDCA,K,5
国际贸易规则,K,5
车辆,K,5
水泵,K,5
行业标准,K,5
外贸出口流程,K,5
管理体系ISO/IATF16949,K,5
商业环境,K,5
外贸,K,5
财务专业知识,K,5
汽车,K,5
公司法,K,5
SAE Reconciliation Plan,K,5
Coding Conventions,K,5
product life cycle,K,5
海外安防市场状况,K,5
文化,K,5
翻译规范,K,5
多线程,K,5
财务管理经验,K,5
人工智能,K,5
材料科学,K,5
金属材料,K,5
心理学,K,5
IEEE29119流程,K,5
产品开发流程,K,5
ESG,K,5
物料组织流程,K,5
竞争格局,K,5
国际商务礼仪知识,K,5
IATF16949质量管理体系,K,5
塑料成型工艺,K,5
模具制造工艺,K,5
品质要求,K,5
人力资源调配,K,5
石油工程,K,5
地质学,K,5
安全工程,K,5
油田化学,K,5
应用化学,K,5
俄语语言文学,K,5
档案管理,K,5
文秘学,K,5
油气储运,K,5
国家法律法规,K,5
EN ISO 12100,K,5
EN 13849,K,5
EN 60204-1,K,5
EN ISO 13857,K,5
规约,K,5
方针,K,5
手顺,K,5
数字电路,K,5
模拟电路,K,5
用工相关政策,K,5
MVPMVVM架构,K,5
外语,K,5
模具制造过程,K,5
IATF16949设计开发流程,K,5
装配,K,5
成本会计,K,5
合规要求,K,5
机械设备,K,5
市场营销策略,K,4
销售管理,K,4
汽车内外饰件产品结构,K,4
汽车零部件产品结构,K,4
料,K,4
设计开发流程,K,4
光学,K,4
海外销售流程,K,4
政策,K,4
单片机基本原理,K,4
CMMI流程,K,4
工作流程,K,4
人机工程,K,4
精益生产管理,K,4
规章制度,K,4
环境保护,K,4
生物,K,4
光伏行业相关知识,K,4
评估方法和工具,K,4
国家和地方的劳动法律法规,K,4
薪酬福利管理专业知识,K,4
外贸和订单管理流程,K,4
封装,K,4
光路设计,K,4
外贸知识,K,4
CMMI,K,4
国家政策,K,4
消费者行为,K,4
市场份额,K,4
快消品行业市场动态,K,4
商务英语,K,4
业务知识,K,4
SIP,K,4
IATF16949相关培训课程,K,4
电池的工艺流程,K,4
劳动法规,K,4
FTA,K,4
汽车行业专门术语,K,4
税务政策,K,4
汽车产品知识,K,4
国际贸易政策法规,K,4
合同法,K,4
国际法律法规,K,4
QSA,K,4
QPA,K,4
Linux系统,K,4
外贸订单流程,K,4
汽车零部件开发流程,K,4
冲压,K,4
系统,K,4
声学实验室,K,4
听力学实验室,K,4
项目管理方法论,K,4
ISO/IATF16949,K,4
EHS体系管理知识,K,4
网络知识,K,4
劳动法,K,4
招聘流程,K,4
交易,K,4
审核问题,K,4
业务,K,4
预算,K,4
互联网,K,4
质量保证计划,K,4
可测量性设计,K,4
检验基准,K,4
MSA计划,K,4
初始过程能力计划,K,4
品牌传播策略,K,4
关系资源,K,4
业务基础,K,4
熟悉公司产品,K,4
供应链,K,4
生产管理,K,4
采购管理,K,4
汽车零部件行业,K,4
成本构成,K,4
人员选育用留管理方法论,K,4
驻地财务法律法规,K,4
社保实务,K,4
驻地劳工政策,K,4
财务报表数据逻辑,K,4
机电一体化,K,4
镁合金工艺,K,4
图纸标注,K,4
汽车产品相关测试要求,K,4
IATF16049质量体系,K,4
合规性,K,4
BMS,K,4
测试方法,K,4
机械结构,K,4
竞品信息,K,4
汽车空调相关知识,K,4
翻译新技术和工具,K,4
销售业务流程,K,4
欧盟国家会计财务准则,K,4
海外财务核算流程,K,4
海外财经法律法规,K,4
市场,K,4
销售管理决策,K,4
国际企业管理,K,4
OH相关产品的生产流程,K,4
分析表征技术,K,4
国际结算,K,4
国际贸易原理,K,4
进出口贸易实务,K,4
国际商务沟通与谈判,K,4
国际金融,K,4
经济法,K,4
跨国公司经营,K,4
国际经济学,K,4
外贸业务协调,K,4
外贸制单,K,4
国际项目招投标流程,K,4
压电相关知识,K,4
管理相关知识,K,4
产品方案,K,4
机加工工艺,K,4
工厂流程,K,4
LIN,K,4
IIC,K,4
日语文本类型,K,4
技术背景,K,4
外贸市场,K,4
新能源汽车,K,4
锂电池行业,K,4
国际标准,K,4
精细化工,K,4
通信原理,K,4
物流工程,K,4
电气知识,K,4
金融、经济或行业知识,K,4
Safety & Risk Management,K,4
德国文化,K,4
价格体系,K,4
以太网,K,4
5大工具,K,4
产品标准,K,4
MVP,K,4
系统问题,K,4
半导体行业,K,4
ERP系统,K,4
PDK开发的规则和流程,K,4
集成电路设计相关知识,K,4
集成电路制造相关工艺流程,K,4
目标,K,4
产品(如超声刀、缝线)知识,K,4
市场变化,K,4
竞品动态,K,4
分销模式,K,4
全球医疗器械、耗材市场行情,K,4
客情关系,K,4
相关法律,K,4
管理方法,K,4
国际商务礼仪,K,4
ESG相关法规和标准,K,4
市场调研,K,4
编码规约,K,4
作业品质,K,4
贸易流程,K,4
国际贸易惯例,K,4
分布式系统,K,4
食品,K,4
Knowledge of vacuum systems,K,4
Robot,K,4
国际贸易类相关专业,K,4
韩国签证,K,4
采购专业知识,K,4
性能要求,K,4
模拟、数字电路原理,K,4
电视原理,K,4
LCD显示原理,K,4
加工能力,K,4
电控,K,4
SOP,K,4
知识背景,K,4
泰国文化,K,4
管理经验,K,4
ISO9001质量管理体系,K,4
ISO13485,K,4
设计输入要求,K,4
财务相关背景,K,4
设备工作原理,K,4
CE认证相关流程,K,4
欧盟CE-MD机械指令,K,4
产品工艺,K,4
产品信息,K,4
5S,K,4
影视传媒行业,K,4
报审相关工作流程,K,4
技术知识,K,4
JVM原理,K,4
容器化技术,K,4
缓存技术,K,4
NoSQL数据库,K,4
消息队列技术,K,4
云平台,K,4
大宗商品国际物流运输,K,4
货代市场,K,4
经营成本,K,4
行业发展趋势,K,4
理工科,K,4
市场容量,K,4
质量体系,K,4
销售工作经验,K,4
采购,K,4
钢框木模产品,K,4
PERI的钢框木模产品体系,K,4
国家对外贸易政策,K,4
境外相关法律法规,K,4
商务洽谈,K,4
质量认证体系,K,4
目标市场,K,4
海外监管政策,K,4
APS排产算法,K,4
制造业生产制造业务,K,4
锂电产品,K,4
企业管理,K,4
应用技术问题,K,4
PCBA,K,4
技术工作经验,K,4
黄光区曝光技术,K,3
制程经验,K,3
高分子材料专业,K,3
AI技术,K,3
设备管理实务,K,3
TPM,K,3
电子商务,K,3
行政管理制度,K,3
汽车行业的相关体系（例如IATF TS16949、VDA 6.3等）的相关要求,K,3
国际市场竞争格局,K,3
国际贸易基本流程和知识,K,3
平台,K,3
光学行业市场/技术,K,3
人才梯队建设,K,3
MISRA-C,K,3
电路原理图,K,3
高速接口,K,3
Autosar分层式架构,K,3
充电协议,K,3
车辆开发流程,K,3
IATF16949标准,K,3
安全生产,K,3
业务常识,K,3
熟悉主流产品和应用,K,3
汽车行业从业经验,K,3
法务,K,3
基础知识,K,3
医药行业市场动态,K,3
快消品销售经验,K,3
区域销售管理经验,K,3
市场营销相关专业,K,3
电子线路板制造工艺,K,3
IPC610,K,3
IPC620,K,3
越南海关、商检、工贸等部门的法律法规,K,3
办事流程,K,3
Edexcel（爱德思）教学大纲,K,3
国际会计准则IFRS,K,3
德国税法,K,3
德国公认会计准则HGB,K,3
ERP软件,K,3
英语相关专业,K,3
合同条款,K,3
招投标流程,K,3
容器隔离技术,K,3
韩语专业背景,K,3
工业设计,K,3
经济知识,K,3
运输,K,3
海外渠道销售模式,K,3
人力资源战略,K,3
市场分析,K,3
质量意识,K,3
机械制造类,K,3
品管相关技法,K,3
组织架构,K,3
采购预算,K,3
IPD,K,3
生产工艺,K,3
结构工程师,K,3
车载电子行业背景,K,3
A-SPICE,K,3
质量相关（ISO9000、IATF16949等）管理知识,K,3
储能产品,K,3
BOM,K,3
ROS系统,K,3
理论力学,K,3
自动控制理论,K,3
现代控制,K,3
最优控制,K,3
机器人原理,K,3
算法概念,K,3
外贸操作基本流程,K,3
React的相关知识,K,3
组件化,K,3
状态管理,K,3
HTTP协议（标头）,K,3
可访问性,K,3
国际市场营销策略,K,3
语言学,K,3
运营模式,K,3
规则,K,3
电子电路,K,3
电气控制,K,3
CP,K,3
DOE,K,3
工程机械行业,K,3
微电子,K,3
产品质量,K,3
泰语相关专业,K,3
外贸销售流程,K,3
新产品开发流程,K,3
成本管理,K,3
嵌入式操作系统,K,3
电子数据,K,3
设计文件,K,3
能源,K,3
电池系统,K,3
风电,K,3
燃机,K,3
翻译工具和平台,K,3
从线索到回款的销售业务流程,K,3
光伏支架产品的技术基础知识,K,3
光伏支架的材料、工艺及质量标准,K,3
光伏支架行业标准,K,3
PLC控制,K,3
视觉算法,K,3
电气元件工作原理,K,3
质量问题,K,3
光罩,K,3
财务管理制度,K,3
技术发展趋势,K,3
国际贸易流程和规则,K,3
电池PACK,K,3
电池制造业务,K,3
中国和国际会计准则,K,3
集团内控要求,K,3
制造业财务管理经验,K,3
生产工艺流程,K,3
PMP认证,K,3
设计方法,K,3
行业资源,K,3
保险,K,3
熟悉国际贸易流程,K,3
外国客户特点,K,3
配光设计规范,K,3
报价方案,K,3
ICP,K,3
技术文件,K,3
行业术语,K,3
营销,K,3
文化差异,K,3
熟悉外贸流程,K,3
第二外语,K,3
课程内容,K,3
IGCSE,K,3
Alevel教学大纲,K,3
考试知识点,K,3
PCBA工艺流程,K,3
图像处理算法,K,3
认知,K,3
化工生产流程,K,3
财务制度,K,3
销售知识,K,3
GB,K,3
注塑成型工艺,K,3
特殊特性清单,K,3
风险,K,3
管理,K,3
市场动向,K,3
业务工作流程,K,3
汽车新能源行业,K,3
海关,K,3
韩语文化,K,3
销售数据,K,3
化学工程,K,3
贸易操作流程,K,3
贸易领域专业知识,K,3
日本市场软件开发流程,K,3
王者系统,K,3
机制,K,3
玩法体系,K,3
销售,K,3
技巧,K,3
品牌意识,K,3
理论基础,K,3
人力资源管理相关理论和方法,K,3
IGBT,K,3
自动化设备,K,3
后续处理,K,3
模具设计,K,3
过程质量,K,3
客诉质量,K,3
控制计划,K,3
视音频技术及解决方案,K,3
USB,K,3
隔膜或锂电池制造、产品开发流程及其应用领域,K,3
互联网知识,K,3
电气系统,K,3
生物医学工程,K,3
设备管理,K,3
MVVM架构,K,3
数据处理方法,K,3
员工关系,K,3
外贸术语,K,3
版图,K,3
版图验证,K,3
组件,K,3
理论知识,K,3
RBA标准,K,3
GRI,K,3
SASB,K,3
TCFD,K,3
CASS-ESG 5.0,K,3
法律法规和行业标准,K,3
市场分析与预测,K,3
产品定位分析,K,3
机器人,K,3
ISO90001,K,3
生产设备操作相关要求及操作步骤,K,3
电源电路的拓扑原理,K,3
电路分析,K,3
产品可靠性,K,3
进出口业务,K,3
PCB,K,3
小语种专业,K,3
汽车动力系统的工作原理及工作特性,K,3
安全标准,K,3
CPA,K,3
通信工程,K,3
AMEC standards,K,3
Bachelor's degree in Mechanical or Automation Engineering,K,3
"working experience in the Mechanical, Automation, EE, OEM, or Pan Semiconductor industry",K,3
PLC,K,3
采购、进出口、供应商管理等流程,K,3
熟悉外贸业务流程,K,3
设备结构,K,3
进出口法规,K,3
支付条款,K,3
汽车动力系统的工作原理,K,3
功能,K,3
新材料,K,3
运营审核要求,K,3
审核运营,K,3
土木工程,K,3
质量体系标准,K,3
市场定位,K,3
词汇知识,K,3
模具制造设备,K,3
成型工艺性能,K,3
技术文档,K,3
铝合金压铸产品加工工艺知识,K,3
形位公差,K,3
QC080000,K,3
数据安全,K,3
人事管理知识,K,3
贸易,K,3
技术经验,K,3
BMS工作原理,K,3
钢结构,K,3
机构运动干涉,K,3
应力分析,K,3
日本的文化,K,3
社交礼仪,K,3
思维习惯,K,3
TS16949,K,3
人脉,K,3
物流运输,K,3
关税,K,3
知识产权法,K,3
意识形态,K,3
技术参数,K,3
物流相关专业,K,3
出口业务开发渠道,K,3
企业文化,K,3
VA/VE方法,K,3
日语专业背景,K,3
项目销售流程,K,3
项目管理工具,K,3
术语,K,3
储能技术,K,3
公司介绍及产品知识,K,3
库存情况,K,3
工作原理,K,3
公司ISO9000/TS16949质量体系文件相关要素,K,3
国家标准,K,3
惯例,K,3
安全,K,3
国际贸易相关流程操作,K,3
大众,K,3
规范和标准,K,3
高并发,K,3
项目信息,K,3
海外相关物流服务的市场行情,K,3
质量异常问题处理流程,K,3
客户流程,K,3
会议和交流场景,K,3
进出口流程,K,3
ESD,K,3
库存控制,K,3
EN/SAE/JIS/ISO,K,3
linux系统,K,3
优劣势对比,K,3
泰国劳动法,K,3
FDA,K,3
EMC设计,K,3
护理程序,K,3
护理工作流程,K,3
公司规章制度,K,3
市场营销理论基础,K,3
行业,K,3
电子类,K,3
财务相关专业,K,3
越南语专业,K,3
OTS,K,3
FEMA,K,3
采购策略,K,3
绩效,K,3
数据,K,3
保税,K,3
半导体硅片的客户端,K,3
渠道,K,3
财务基础,K,3
PP模块,K,3
营销类,K,3
机加工,K,3
商业管理,K,3
驾照,K,3
信息管理,K,3
了解公司产品或服务,K,3
法津法规,K,3
语言类,K,3
电子元器件,K,3
产品开发,K,3
客户服务团队,K,3
海外工作经验,K,3
风险防护本质安全设计理念,K,3
机械和机器相关安全标准和规范,K,3
CE符合性评估的专业知识,K,3
材料特性,K,3
当地汽车市场,K,3
当地汽车市场销量、价格、政策、法规,K,3
储能,K,3
英文技术文档,K,3
专业基础扎实,K,3
drug safety management,K,3
Medical Monitoring,K,3
Data Management,K,3
Clinical Operations,K,3
Late Phase Services,K,3
Analysis and Reporting,K,3
Drug Safety Associate’s,K,3
customer requirements,K,3
Safety and Risk Management services,K,3
Safety & Risk Management related topics,K,3
ICSR,K,3
project scope of work,K,3
established procedures,K,3
project specific instructions,K,3
SAE/AE reconciliation plan,K,3
project specific guidelines,K,3
Aggregated Safety Reports,K,3
EU Annual Safety Report,K,3
IND Annual Report,K,3
Periodic Safety Update Reports,K,3
cumulative safety reports,K,3
client contract,K,3
safety process,K,3
financial and administrative processes,K,3
相关法规,K,3
美洲市场的文化和商业环境,K,3
保温杯行业经验,K,3
项目成本核算经验,K,3
IATF16949:2016体系,K,3
Poka Yoke,K,3
AUTOSAR CP架构,K,3
车灯控制器功能,K,3
改善方法,K,2
电器类设计经验,K,2
物理学,K,2
材料类,K,2
材料工程,K,2
制造,K,2
质量控制流程,K,2
项目管理工具和方法,K,2
相关行业标准,K,2
汽车、机械原理基础知识,K,2
设计评审流程,K,2
工业领域知识,K,2
出口证书,K,2
人机交互（HMI）,K,2
嵌入式系统,K,2
机器学习算法,K,2
人工智能技术,K,2
语音识别,K,2
图像处理,K,2
手势识别,K,2
智能控制,K,2
应用端的使用方向,K,2
选型,K,2
合同管理,K,2
质量相关工作经验,K,2
市场情报,K,2
团队运作状况,K,2
组织及个人能力考评管理工具,K,2
有机化学,K,2
无机化学,K,2
物理化学,K,2
系统匹配技术,K,2
汽车行业IATF 16949体系,K,2
生管物流相关的ERP等系统流程,K,2
汽车空调生产流程,K,2
时尚,K,2
搭配理念,K,2
MCAL,K,2
工作手册,K,2
驾驶证,K,2
电梯及外贸流程,K,2
总装车间生产工艺,K,2
设备预防保全,K,2
设备工艺革新,K,2
企划开发业务,K,2
化妆品行业趋势,K,2
化妆品配方技术,K,2
化妆品产品标准,K,2
模具基础,K,2
电子电器元器,K,2
结构件,K,2
金属件质量要求,K,2
产品功能,K,2
自动化流水线装配加工工艺,K,2
生产管理经验,K,2
重组蛋白/抗体行业,K,2
模拟电路及数字电路理论基础,K,2
开关电源工作原理,K,2
PFC,K,2
DC-DC变换拓扑,K,2
EMI,K,2
控制电路,K,2
电子元器件的规格技术参数,K,2
失效机理,K,2
ATE测试原理,K,2
供应链管理理论与实践,K,2
供应链各环节的操作流程,K,2
冲压工艺作业流程,K,2
冲压工艺规划,K,2
车身冲压零件常用原材料牌号及性能,K,2
原材料代用情况,K,2
德系、欧系、日系及国内主要主机厂车身冲压件及模具的开发标准要求,K,2
国内主要主机厂冲压模具供应商的技术、制造能力,K,2
海外安防、视频监控类工作经验,K,2
熟悉海外安防市场状况,K,2
掌握视音频技术及解决方案,K,2
会计、财务等专业知识,K,2
管理类,K,2
生产,K,2
阿米巴经营,K,2
制造型企业的经营业务和管理活动,K,2
信息架构,K,2
地方规范标准,K,2
水利水电类,K,2
国际贸易通则,K,2
服装业务及面辅料知识,K,2
化学分析相关科学仪器,K,2
LED芯片,K,2
新媒体,K,2
电子电路原理,K,2
电化学,K,2
品质管理经验,K,2
QCC品管圈活动,K,2
IATF16949五大,K,2
数据仓库,K,2
数据集成,K,2
数据建模,K,2
概念模型,K,2
关系数据库设计,K,2
消息模型,K,2
数学基础,K,2
大数据库技术,K,2
大数据相关技术,K,2
供应商评审流程,K,2
QC手法,K,2
110KV及以下配电系统的运行管理和施工的规范要求,K,2
配电设施的工作原理,K,2
维护维修方法,K,2
弱电系统的工作原理,K,2
工程英语专业词汇,K,2
社会学,K,2
工程造价,K,2
冶金类,K,2
化工类,K,2
工程管理,K,2
电子行业各类物料及专业知识,K,2
尽职调查,K,2
可行性研究分析,K,2
成本控制方法,K,2
熟悉B2B业务模式,K,2
熟悉工程机械行业,K,2
车载导航,K,2
车载音响,K,2
资产管理的工具,K,2
北美汽车业务经验,K,2
国际贸易相关专业,K,2
海关法及相关法律法规,K,2
HSE 规定,K,2
新设备,K,2
GRAMMER产品开发系统（PDS）,K,2
汽内饰件开发流程,K,2
喷漆,K,2
物流技术,K,2
物流运营模式,K,2
物流和供应链管理知识,K,2
包装,K,2
财务管理相关知识,K,2
报关报检政策,K,2
合规制度,K,2
软管接头,K,2
螺丝螺帽,K,2
五金配件,K,2
信件,K,2
熟悉工程机械,K,2
工程承包业务,K,2
质量方针,K,2
环境管理体系,K,2
ISO/45001管理体系,K,2
焊接工艺,K,2
IATF16949质量体系,K,2
D特性,K,2
OHSAS18001,K,2
国际市场相关政策、法规、公约及惯例,K,2
韩国人的思维模式,K,2
采购期望值,K,2
项目规划进展时间,K,2
决策程序,K,2
合作伙伴信息,K,2
外语相关专业,K,2
直播流程,K,2
平台使用规则,K,2
PRINCE2,K,2
合同中的商务条款和谈判策略,K,2
EHS法规及标准,K,2
社会保险法,K,2
行业技术标准,K,2
品质特性,K,2
试验方法,K,2
零部件检测设备,K,2
利润情况,K,2
TPS经验,K,2
期货知识,K,2
在线客户拓展平台,K,2
中东地区法律法规,K,2
国际人力资源管理知识,K,2
实践案例,K,2
机器人运动控制,K,2
轨迹规划,K,2
CNC轨迹规划,K,2
数学概念,K,2
人力资源工作1-2个模块的工作流程,K,2
法律规章,K,2
PPAP 资料,K,2
产品制造工艺与材料特性,K,2
用户体验设计思维,K,2
工科背景,K,2
汽车行业经验,K,2
B2B销售模式,K,2
社会资源,K,2
社会网络,K,2
了解智利的建材市场,K,2
熟悉中国——智利贸易,K,2
报关流程,K,2
链系统行业营销模式,K,2
主机配套,K,2
售后市场客户群体,K,2
掌握客户需求,K,2
异步状态管理（React Query/SWR）,K,2
客户端存储（Cookie、*****/SessionStorage）,K,2
计划管理,K,2
五金冲压,K,2
自动化装配,K,2
原材料及物料知识,K,2
物流管理体系,K,2
海外当地招聘渠道,K,2
法律意见书,K,2
法学专业（海商法方向）,K,2
化学化工类,K,2
俄语市场,K,2
光电产业背景,K,2
越南语相关专业,K,2
了解行业信息,K,2
生物药上游单元操作深入的理论知识,K,2
机械原理,K,2
工程材料学,K,2
工程力学,K,2
气液控制,K,2
非标自动化设计相关知识,K,2
UI、接口、组件等的自动化测试方法,K,2
自动化测试框架和工具,K,2
数据库语言,K,2
市场趋势和变化,K,2
ISO9001系列质量标准,K,2
OHSAS管理体系,K,2
掌握竞争对手的市场动态,K,2
熟悉外贸进出口流程,K,2
电子电气,K,2
微电子器件制造、组装和测试的基本知识,K,2
品牌知名度,K,2
穆斯林风俗文化,K,2
会计工作,K,2
食品市场动态,K,2
行业法规,K,2
资金管理,K,2
酒店管理,K,2
整机组装,K,2
连接贴合,K,2
模组设计,K,2
语言类专业背景,K,2
语言专业背景,K,2
西班牙语知识,K,2
阿拉伯语专业,K,2
船舶与海洋工程,K,2
航运管理,K,2
海事海商,K,2
金融财经,K,2
国际航运大宗干散货租船市场,K,2
CMM/CMMI,K,2
制造行业的基本知识,K,2
制造行业的基本运行程序,K,2
与公司业务相关的财务知识和法规,K,2
制造行业的财务事务及法规,K,2
人文环境,K,2
检测项目,K,2
检测设备,K,2
检测耗材,K,2
检测室仪器设备,K,2
财税合规,K,2
资金,K,2
费用,K,2
财务相关经验,K,2
医疗器械法规和标准,K,2
IVD产品注册流程与要求,K,2
质量监控流程,K,2
电气原理图,K,2
电气元器件的使用方法,K,2
金属压延,K,2
冷轧工艺,K,2
热处理,K,2
卷对卷(Roll to Roll),K,2
实践知识,K,2
E-CELL,K,2
Bonding,K,2
贴合工艺,K,2
Particle/ESD/设备安全要求,K,2
